time,open,high,low,close,tick_volume,spread,real_volume
2024-09-24 13:40:00,5790.25,5792.25,5788.75,5791.5,68,25,291
2024-09-24 13:45:00,5792.5,5793.25,5789.75,5789.75,34,25,177
2024-09-24 13:50:00,5789.25,5790.5,5788.25,5788.25,8,25,13
2024-09-24 13:55:00,5789.25,5789.25,5785.75,5786.0,39,25,104
2024-09-24 14:00:00,5785.5,5787.25,5784.75,5787.25,9,25,10
2024-09-24 14:05:00,5786.0,5789.5,5785.75,5787.0,29,25,133
2024-09-24 14:10:00,5786.5,5790.25,5786.5,5790.25,15,25,61
2024-09-24 14:15:00,5790.25,5790.5,5789.75,5789.75,8,25,17
2024-09-24 14:20:00,5789.5,5789.5,5788.25,5789.25,12,25,29
2024-09-24 14:25:00,5788.5,5789.75,5787.25,5787.25,21,25,59
2024-09-24 14:30:00,5788.25,5790.5,5788.25,5790.5,20,25,99
2024-09-24 14:35:00,5790.5,5791.5,5787.5,5788.75,31,25,63
2024-09-24 14:40:00,5787.75,5790.5,5787.25,5789.5,12,25,15
2024-09-24 14:45:00,5789.0,5789.0,5786.75,5786.75,23,25,159
2024-09-24 14:50:00,5786.75,5788.5,5786.0,5788.5,8,25,13
2024-09-24 14:55:00,5786.5,5787.5,5785.75,5785.75,14,25,23
2024-09-24 15:00:00,5785.75,5788.0,5785.0,5786.75,17,25,33
2024-09-24 15:05:00,5786.5,5788.0,5786.5,5788.0,6,25,6
2024-09-24 15:10:00,5786.25,5786.5,5782.75,5785.0,52,25,146
2024-09-24 15:15:00,5785.5,5786.25,5783.25,5786.25,25,25,42
2024-09-24 15:20:00,5785.75,5786.75,5784.75,5784.75,15,25,80
2024-09-24 15:25:00,5784.75,5785.0,5782.25,5782.25,16,25,56
2024-09-24 15:30:00,5782.25,5783.5,5776.0,5783.0,138,25,918
2024-09-24 15:35:00,5783.5,5786.75,5783.25,5786.75,14,25,32
2024-09-24 15:40:00,5787.0,5787.5,5784.75,5784.75,21,25,53
2024-09-24 15:45:00,5785.0,5785.75,5784.25,5785.75,10,25,56
